beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
0.15,10,0.95,0.02,10.663924628500173,6.362959626358287,61866.583333333336,5568,90.00012122861156,0.30077242101624674,0.16405578502848528,0.26527800845279254
0.15,10,0.95,0.05,10.089361495566203,6.439162933549771,61726.833333333336,11170,180.95857825202978,0.28897707415174495,0.1506643946269478,0.2505459026917614
0.15,10,0.95,0.1,9.608734050300257,6.234133811458702,61085.916666666664,19025,311.44658275025205,0.2711315286586587,0.13420644259371445,0.2291158032542244
0.15,10,0.95,0.2,9.179350232654562,5.876614427970178,60739.833333333336,35570,585.6124070146169,0.2415415626935876,0.10322115315922135,0.18716622882909284
0.15,10,0.99,0.02,10.641499258431152,6.5269146528077755,61762.333333333336,5939,96.15893181928575,0.30165601488946786,0.16231059520796484,0.2643442553538423
0.15,10,0.99,0.05,10.149881573727319,6.367532152909509,61725.666666666664,11888,192.59411265977957,0.28682423869768425,0.14814109384117216,0.24744384510434833
0.15,10,0.99,0.1,9.615881163087783,6.247174087724747,61323.666666666664,20696,337.4879736480206,0.26806785494106483,0.12754302890404998,0.2257304643897069
0.15,10,0.99,0.2,8.831780243821871,5.886268503005273,60613.583333333336,36941,609.4508519130063,0.23592057280622578,0.1019822480990552,0.18239633701292654
0.15,15,0.9,0.02,10.650857667007624,6.421382216732805,62170.083333333336,5092,81.90434573971135,0.3031513561439286,0.16639759174490557,0.2668154863734561
0.15,15,0.9,0.05,10.226980416224436,6.492109128090764,61942.0,9981,161.134609796261,0.29275446147284007,0.15200383250694133,0.2537630486353552
0.15,15,0.9,0.1,9.846563898634223,6.201490701882807,61524.25,17460,283.790537877341,0.2753206292980183,0.13820545128828973,0.23452944771169137
0.15,15,0.9,0.2,9.229632948494766,6.061990601049577,60797.166666666664,32248,530.4194548539816,0.24859620608440045,0.11084886048928673,0.1963711564110935
0.15,15,0.95,0.02,10.683187599010482,6.489406263388854,62171.75,5768,92.77525564263513,0.30198777430311224,0.16325525665047275,0.26628294119580637
0.15,15,0.95,0.05,10.473676002474031,6.374200316335812,61535.333333333336,11546,187.63203796192974,0.2918325847230335,0.1542216338707136,0.2541528648864149
0.15,15,0.95,0.1,9.62701923245528,6.09661714542406,61557.5,19350,314.3402509848516,0.26703797137356106,0.1314045108546877,0.22305366620500655
